,Unnamed: 0,Unnamed: 0.1,Name,URL,7/12/2018 2:00 PM,7/12/2018 2:01 PM,7/12/2018 2:18 PM,7/12/2018 2:39 PM,10/18/2018 12:39 PM,10/25/2018 12:39,10/25/2018 12:42,10/25/2018 12:45
0,0,0,Penn State-A Public Research University Serving Pennsylvania and the Global Community,http://www.psu.edu/,88,88,88,88,88,88,88,88
1,1,1,Penn State Online | How Online Learning Works,http://www.worldcampus.psu.edu/how-online-learning-works,90,90,90,90,90,90,90,90
2,2,2,Penn State Online | Student Services,http://www.worldcampus.psu.edu/how-online-learning-works/student-services,90,90,90,90,90,90,90,90
3,3,3,Penn State Tuition and Financial Aid,http://www.psu.edu/tuition-and-financial-aid,83,83,83,83,83,83,83,83
